L15-H16,Date of sampling: 29/11/2011,,,,,,,,,,,
Depth_cm,Depth_(mid)_cm,Dry_bulk_density__g/cm-³,210Pb__total_Bq_g-1,214Bi_supported_210Pb_Bq_g-1,214Pb_supported_210Pb_Bq_g-1,210Pb_unsupported_210Pb_Bq_g-1,137Cs_Bq_g-1,241Am_Bq_g-1,CRS_Age_years,CRS_age_Year_CE,Sediment_velocity_cm_J-1,DMAR_g_cm-1_J-1
0-1,0.5,0.67,0.091,0.012,0.012,0.074,0.041,0,10,2002,0.1,0.0667
1-2,1.5,0.66,0.095,0.012,0.013,0.077,0.024,0,26,1986,0.064,0.0426
2-3,2.5,0.64,0.086,0.012,0.012,0.069,0.021,0,50,1961,0.04,0.0257
3-4,3.5,0.63,0.067,0.012,0.013,0.05,0.019,0,112,1900,0.016,0.0102
4-4.5,4.25,0.52,0.029,0.011,0.011,0.016,0.014,0,162,1850,0.015,0.0079
5-5.5,5.25,0.47,0.02,0.014,0.014,0.005,0.009,0,-,-,-,-
5.5-6,5.75,0.46,0.015,0.013,0.013,0.001,0.009,0,-,-,-,-
6-6.5,6.25,0.45,0.018,0.013,0.015,0.003,0.002,0,-,-,-,-
6.5-7,6.75,0.42,0.009,0.014,0.014,-0.006,0.001,0,209,1803,-,-
7-7.5,7.25,0.39,0.016,0.0128,0.012,0.003,0.001,0,-,-,-,-
7.5-8,7.75,0.39,0.014,0.014,0.014,-0.001,0.011,0,-,-,-,-
8-8.5,8.25,0.39,0.017,0.015,0.014,0.001,0.008,0,-,-,-,-
8.5-9,8.75,0.36,0.017,0.013,0.013,0.003,0,0,-,-,-,-
9-9.5,9.25,0.35,0.0164,0.0148,0.014,0.001,0,0,-,-,-,-
9.5-10,9.75,0.34,0.02,0.013,0.015,0.005,0,0,-,-,-,-
