Sample_depth_m,Altitude_ma.s.l.,Facies,Gravel_%,VC_Sand>1mm_%,Coarse_Sand>0.5mm_%,Med._Sand>0.25mm_%,FineSand>0.125mm_%,V.FineSand>0.063_mm_%,Silt_%,Clay_%
0.35,5.65,6,22.5,9.4,9.1,10.5,11.2,5,18.5,13.8
1.05,4.9,5,14.5,17.4,18.2,21.4,19.5,4.3,3.6,1.2
1.35,4.65,_Contact_5-4,0.2,0.6,2.2,26.5,61.1,5.5,1.4,2.5
1.5,4.5,4,0.2,0.1,0.4,16.4,65,11.3,2.7,3.9
1.65,4.35,4,2,0.5,1.8,14.5,54.8,16.4,7.5,2.5
1.85,4.15,Contact_4-3,0,0.1,0.5,25,66.2,5.3,2.2,0.7
1.9,4.1,3,3.2,1,2.1,10.5,47.9,19.2,13.6,2.5
2.17,3.83,3,1.8,0.5,0.7,4.2,44.8,27.8,14.7,5.5
2.37,3.63,3,0.4,0.1,0.2,2.1,48.5,35.4,10.6,2.8
2.62,3.38,3,5.9,0.5,0.7,3.8,39.2,30.2,15.9,3.8
2.87,3.13,3,0.4,0.1,0.3,1.2,31.9,42.1,20.9,3
2.97,3.03,1,0.1,0.2,0.8,4.7,56.7,28.1,8.2,1.2
3.15,2.85,1,0.4,0.3,1.1,5.8,57.7,20.6,12.3,1.9
