"id","ages","ageSds","position","thickness","calCurves","LabID"
"ART_03A_2015",1380,30,72,1,"shcal20","Beta-441409"
"ART_03B_2015",1380,30,72,1,"shcal20","Beta-441410"
"ART_01A_2015",1980,30,72,1,"shcal20","Beta-441405"
"ART_01B_2015",1950,30,72,1,"shcal20","Beta-441406"
"ART_01A_2015 bis",1920,30,72,1,"shcal20","Beta-441407"
"ART_01B_2015 bis",1940,30,72,1,"shcal20","Beta-441408"
"ART_08_arriba_A_2015",2030,30,16,1,"shcal20","Beta-441411"
"ART_08_arriba_B_2015",2050,30,16,1,"shcal20","Beta-441412"
"ART_08_abajo_A_2015",1870,30,16,1,"shcal20","Beta-441413"
"ART_08_abajo_B_2015",1900,30,16,1,"shcal20","Beta-441414"
"ART_02_ARTIGAS_1_A",2050,30,7,1,"shcal20","Beta-441415"
"ART_02_ARTIGAS_2_A",2010,30,7,1,"shcal20","Beta-441417"
"ART_02_ARTIGAS_2_B",1980,30,7,1,"shcal20","Beta-441418"
