id,ages,ageSds,position,thickness,calCurves,LabID,altitude
ART02 Moraine_1,2050,30,0,1,shcal20,Beta-441415,7
ART02 Moraine_2,2010,30,0,1,shcal20,Beta-441417,7
ART02 Moraine_3,1980,30,0,1,shcal20,Beta-441418,7
ART07 Moraine_1,7045,85,0,1,marine20666,ETH-69688,18
ART07 Moraine_2,6590,70,0,1,marine20666,ETH-69689,18
ART07 Moraine_3,6730,75,0,1,marine20666,ETH-69690,18
ART09 Moraine_1,6265,75,0,1,marine20666,ETH-69691,27
ART09 Moraine_2,5895,70,0,1,marine20666,ETH-69692,27
ART10 Moraine_1,6235,70,0,1,marine20666,ETH-69693,28
ART10 Moraine_2,5925,70,0,1,marine20666,ETH-69694,28
ART10 Moraine_3,6520,75,0,1,marine20666,ETH-69695,28
PC_SJ_section_1,7683,86,0,1,marine20666,Birm-23,4
PC_SJ_section_2,9670,230,0,1,marine20666,Birm-48a,3.5
PC_Pingfo-II_river section_1,7860,40,0,1,marine20666,Beta-441402,1.5
PC_Pingfo-II_river section_2,7890,40,0,1,marine20666,Beta-441403,1.55
PC_Pingfo-II_river section_3,8010,85,0,1,marine20666,ETH-67269,1.6
PC_Pingfo-II_river section_4,7805,85,0,1,marine20666,ETH-67267,1.7
PC_Pingfo-II_river section_5,7780,30,0,1,marine20666,Beta - 431964,1.85
PC_Pingfo-II_river section_6,8170,85,0,1,marine20666,ETH-67270,2.05
PC_Pingfo-II_river section_7,8115,80,0,1,marine20666,ETH-67272,2.1
PC_Pingfo-II_river section_8,7920,20,0,1,marine20666,ETH-71994,2.56
PC_Pingfo-II_river section_9,7705,80,0,1,marine20666,ETH-67268,2.7
PC_Pingfo-II_river section_10,8005,85,0,1,marine20666,ETH-67273,2.95
PC_Pingfo-II_river section_11,7950,70,0,1,marine20666,ETH-67275,3.05
PC_Pingfo-II_river section_12,8020,90,0,1,marine20666,ETH-67274,3.05
PC_Pingfo-II_river section_13,8145,70,0,1,marine20666,ETH-67276,3.1
PC_Pingfo-II_river section_14,8015,20,0,1,marine20666,ETH-72000,3.11
PC_Pingfo-II_river section_15,8300,75,0,1,marine20666,ETH-67277,3.3
PC_Pingfo-II_river section_16,8005,20,0,1,marine20666,ETH-71996,3.41
PC_Pingfo-II_river section_17,7995,20,0,1,marine20666,ETH-71997,3.46
PC_Pingfo-II_river section_18,8100,40,0,1,marine20666,Beta - 441404,3.5
PC_Pingfo-II_river section_19,8090,75,0,1,marine20666,ETH-67278,3.5
PC_Pingfo-II_river section_20,7995,65,0,1,marine20666,ETH-72001,4
PC_Pingfo-II_river section_21,8195,25,0,1,marine20666,ETH-71995,4.47
PC_Pingfo-II_river section_22,7831,39,0,1,marine20666,SUERC-14413,2.79
PC_Pingfo-II_river section_23,7883,39,0,1,marine20666,SUERC-14414,2.79
PC_Pingfo-II_river section_24,7853,38,0,1,marine20666,SUERC-14416,2.79
PC_Pingfo-II_river section_25,7842,37,0,1,marine20666,SUERC-14417,2.79
PC_Inland Moraine_1,1880,30,0,1,shcal20,Beta-441400,2.2
PC_Inland Moraine_2,1850,30,0,1,shcal20,Beta-441401,2.2
